osmid,y,x,street_count,highway,ref,geometry
26121998,4595107.05299894,544243.3293631194,3,,,POINT (544243.3293631194 4595107.05299894)
1692226376,4595272.760157465,544670.9531498847,3,,,POINT (544670.9531498847 4595272.760157465)
26122025,4595117.394159661,544236.8730638255,3,,,POINT (544236.8730638255 4595117.394159661)
229107774,4595345.531119168,544128.868360818,3,,,POINT (544128.868360818 4595345.531119168)
1692226361,4595000.365158515,544053.8297133273,3,,,POINT (544053.8297133273 4595000.365158515)
26124437,4598643.160144348,542131.8007622098,3,,,POINT (542131.8007622098 4598643.160144348)
229108939,4595146.331299604,544085.2032313383,3,motorway_junction,8,POINT (544085.2032313383 4595146.331299604)
26267192,4596236.518270131,546444.625822729,3,,,POINT (546444.625822729 4596236.518270131)
1109502363,4596377.189352121,546527.7314036906,3,,,POINT (546527.7314036906 4596377.189352121)
26267211,4596429.430123417,546342.0582512635,3,motorway_junction,,POINT (546342.0582512635 4596429.430123417)
1109502436,4596363.7639760235,546511.8551425186,3,,,POINT (546511.8551425186 4596363.7639760235)
1109502480,4596580.905510274,546623.5015525029,3,,,POINT (546623.5015525029 4596580.905510274)
26267389,4597991.2080077175,546388.9842896553,3,motorway_junction,5,POINT (546388.9842896553 4597991.2080077175)
1106483603,4598090.73916741,546309.1241925381,3,motorway_junction,5,POINT (546309.1241925381 4598090.73916741)
1106483883,4598249.097171287,546214.4486008281,3,,,POINT (546214.4486008281 4598249.097171287)
26268327,4596317.294518799,547547.9055864823,3,,,POINT (547547.9055864823 4596317.294518799)
26270509,4596594.073994394,546654.5484590381,3,motorway_junction,,POINT (546654.5484590381 4596594.073994394)
26269015,4598425.529269824,549348.248331306,3,,,POINT (549348.248331306 4598425.529269824)
512545156,4598838.732494501,549648.6790753235,3,,,POINT (549648.6790753235 4598838.732494501)
26269730,4595544.054546273,546349.2323550059,3,,,POINT (546349.2323550059 4595544.054546273)
1865917228,4596042.361195769,546331.1435939552,3,motorway_junction,6,POINT (546331.1435939552 4596042.361195769)
26270222,4600095.631697661,547347.4704212876,3,,,POINT (547347.4704212876 4600095.631697661)
26270224,4600221.348248456,547418.7015113166,3,,,POINT (547418.7015113166 4600221.348248456)
215753608,4600243.679072823,547431.0477581682,3,motorway_junction,,POINT (547431.0477581682 4600243.679072823)
26270465,4598420.473771328,546231.5020449278,3,,,POINT (546231.5020449278 4598420.473771328)
26270505,4596566.729601727,546527.5349469878,3,,,POINT (546527.5349469878 4596566.729601727)
12399891714,4596307.210674853,546005.0842665986,3,,,POINT (546005.0842665986 4596307.210674853)
26270740,4596495.408135934,548001.5288922936,3,motorway_junction,,POINT (548001.5288922936 4596495.408135934)
1788717619,4596414.8125443375,547676.4421251013,3,,,POINT (547676.4421251013 4596414.8125443375)
26270764,4598383.387622903,549174.97842464,3,motorway_junction,,POINT (549174.97842464 4598383.387622903)
1563791987,4598329.816039417,549127.5180337924,3,,,POINT (549127.5180337924 4598329.816039417)
213758545,4598394.055949325,549150.3797605111,3,,,POINT (549150.3797605111 4598394.055949325)
208911309,4600095.845279807,548125.277834102,3,,,POINT (548125.277834102 4600095.845279807)
2439088601,4599754.303025583,548282.2013601952,4,,,POINT (548282.2013601952 4599754.303025583)
208928897,4599495.038797747,548953.9757647573,4,,,POINT (548953.9757647573 4599495.038797747)
1888043292,4599546.387456042,548926.0688928063,3,,,POINT (548926.0688928063 4599546.387456042)
